full_name,selected_alternative,is_correct
Gabriel Souza,2,false
Gabriel Souza,2,false
Gabriel Souza,2,false
Gabriel Souza,2,false
Isabela Ferreira,2,false
Isabela Ferreira,2,false
Isabela Ferreira,2,false
Isabela Ferreira,2,false
Lucas Mendes,3,true
Lucas Mendes,2,false
Lucas Mendes,2,false
Lucas Mendes,2,false
Mariana Costa,4,false
Mariana Costa,4,false
Mariana Costa,4,false
Mariana Costa,4,false
Pedro Oliveira,5,false
Pedro Oliveira,5,false
Pedro Oliveira,5,false
Pedro Oliveira,5,false
Julia Lima,3,true
Julia Lima,2,false
Julia Lima,2,false
Julia Lima,2,false
